date,mobile_performance,desktop_performance,mobile_lcp,desktop_lcp,mobile_cls,desktop_cls
2026-06-29 11:35,45,75,9.2 s,1.3 s,0,0.08
2026-06-29 11:40,47,52,7.3 s,3.0 s,0,0.255
2026-06-29 11:50,52,79,7.9 s,2.6 s,0,0.082
2026-06-29 12:02,49,59,7.5 s,2.4 s,0,0.08
2026-06-30 07:39,41,65,6.2 s,1.5 s,0.001,0.08
2026-06-30 07:47,68,86,5.9 s,1.9 s,0,0.08
2026-06-30 07:53,42,87,8.8 s,1.8 s,0.001,0.08
2026-06-30 08:02,42,69,6.3 s,1.5 s,0.001,0.08
2026-06-30 08:08,35,83,6.4 s,2.2 s,0.001,0.08
2026-06-30 12:34,49,79,4.7 s,1.8 s,0,0.08
2026-07-01 13:58,54,61,5.4 s,1.3 s,0,0.08
2026-07-02 12:35,65,48,10.8 s,1.5 s,0,0.255
2026-07-03 12:31,53,63,6.2 s,1.3 s,0,0.08
2026-07-04 11:13,49,64,7.6 s,1.6 s,0,0.08
2026-07-05 11:49,45,68,11.3 s,2.5 s,0,0.082
2026-07-06 17:19,66,77,6.0 s,1.7 s,0,0.08
2026-07-07 13:56,57,88,11.7 s,1.1 s,0,0.08
2026-07-08 12:01,-1,79,-,2.4 s,-,0.08
2026-07-09 16:13,57,90,12.0 s,1.3 s,0,0.08
2026-07-10 13:31,51,46,11.5 s,1.7 s,0,0.257
2026-07-11 10:38,54,59,8.0 s,2.3 s,0,0.08
2026-07-12 11:03,45,54,6.1 s,1.2 s,0,0.255
2026-07-13 13:42,35,52,6.4 s,1.8 s,0,0.255
